Duplicate;Nucleus;Z;A;Ex [keV];T1/2;J;parity;m;error;Technique;Citation;N
1;187Pb;82;187;0;18.3 s;6.5;+;-1.21;0.005;LRIS;2009SE13;105
1;187Pb;82;187;33;15.2 s;1.5;-;-1.126;0.003;LRIS;2009SE13;105
1;189Pb;82;189;0;51 s;1.5;-;-1.081;0.009;LRIS;2009SE13;107
1;189Pb;82;189;40;39 s;6.5;+;-1.19;0.01;LRIS;2009SE13;107
1;191Pb;82;191;138;2.18 m;6.5;+;-1.172;0.007;CFBLS;1991DU07;109
1;193Pb;82;193;100;5.8 m;6.5;+;-1.15;0.007;CFBLS;1991DU07;111
1;195Pb;82;195;203;15 m;6.5;+;-1.128;0.007;CFBLS;1991DU07;113
2;195Pb;82;195;203;15 m;6.5;+;-1.1318;0.0013;CFBLS;1987DI06;113
1;197Pb;82;197;0;8 m;1.5;-;-1.0753;0.0022;ABLFS;1986AN06;115
1;197Pb;82;197;319;43 m;6.5;+;-1.098;0.011;CFBLS;1991DU07;115
2;197Pb;82;197;319;43 m;6.5;+;-1.1045;0.0027;ABLFS;1986AN06;115
1;199Pb;82;199;0;1.5 h;1.5;-;-1.0742;0.0012;ABLFS;1986AN06;117
1;201Pb;82;201;0;9.33 h;2.5;-;0.6753;0.0005;ABLFS;1986AN06;119
1;202Pb;82;202;2170;3.62 h;9;-;-0.2276;0.0007;ABLFS;1986AN06;120
1;203Pb;82;203;0;51.9 h;2.5;-;0.6864;0.0005;ABLFS;1986AN06;121
1;205Pb;82;205;0;1.73E+7 y;2.5;-;0.7117;0.0004;ABLFS;1986AN06;123
1;207Pb;82;207;0;stable;0.5;-;0.59258;0.00012;CFBLS;1987DI06;125
1;209Pb;82;209;0;3.25 h;4.5;+;-1.4735;0.0016;ABLFS;1986AN06;127
1;211Pb;82;211;0;36.1 m;4.5;+;-1.4037;0.0008;ABLFS;1986AN06;129
1;202Bi;83;202;0;1.71 h;5;+;4.259;0.014;LRFS;1996CA02;119
1;203Bi;83;203;0;11.8 h;4.5;-;4.017;0.013;LRFS;1996CA02;120
1;204Bi;83;204;0;11.22 h;6;+;4.322;0.015;LRFS;1996CA02;121
1;205Bi;83;205;0;15.3 d;4.5;-;4.065;0.007;LRFS;1997KI15;122
1;206Bi;83;206;0;6.243 d;6;+;4.361;0.008;LRFS;1997KI15;123
1;207Bi;83;207;0;32.2 y;4.5;-;4.0915;0.0009;LRFS;2000PE30;124
1;208Bi;83;208;0;3.68E+5 y;5;+;4.578;0.013;LRFS;2000PE30;125
2;208Bi;83;208;0;3.68E+5 y;5;+;4.633;0.01;LRFS;1997KI15;125
1;210Bi;83;210;271;3.04E+6 y;9;-;2.728;0.042;LRFS;1997KI15;127
1;212Bi;83;212;0;60.6 m;1;-;0.321;0.038;LRFS;1997KI15;129
1;213Bi;83;213;0;45.6 m;4.5;-;3.716;0.007;LRFS;1997KI15;130
1;203Rn;86;203;361;28 s;6.5;+;-0.96;0.011;CFBLS;1987BO29;117
1;205Rn;86;205;0;2.83 m;2.5;-;0.802;0.009;CFBLS;1987BO29;119
1;207Rn;86;207;0;9.3 m;2.5;-;0.816;0.009;CFBLS;1987BO29;121
1;211Rn;86;211;0;14.6 h;0.5;-;0.601;0.007;CFBLS;1988KI03;125
1;221Rn;86;221;0;25 m;3.5;+;-0.02;0.001;CFBLS;1988KI03;135
1;223Rn;86;223;0;23.2 m;3.5;;-0.776;0.008;CFBLS;1988KI03;137
1;225Rn;86;225;0;4.5 m;3.5;-;-0.696;0.008;CFBLS;1988KI03;139
1;202Fr;87;202;0;0.3 s;3;+;3.9;0.05;CRIS;2014LY01;115
1;202Fr;87;202;0.01;0.29 s;10;-;2.34;0.04;CRIS;2014LY01;115
1;203Fr;87;203;0;0.55 s;4.5;-;3.73;0.04;CRIS;2014LY01;116
1;204Fr;87;204;0;1.9 s;3;+;3.99;0.03;CLS;2015VO05;117
2;204Fr;87;204;0;1.9 s;3;+;3.95;0.05;CRIS;2014LY01;117
3;204Fr;87;204;0;1.9 s;3;+;4.02;0.06;CLS;2013VO10;117
1;204Fr;87;204;41;1.6 s;7;+;4.62;0.04;CLS;2015VO05;117
2;204Fr;87;204;41;1.6 s;7;+;4.57;0.06;CRIS;2014LY01;117
1;204Fr;87;204;316;0.8 s;10;-;2.34;0.02;CLS;2015VO05;117
2;204Fr;87;204;316;0.8 s;10;-;2.35;0.04;CRIS;2014LY01;117
1;205Fr;87;205;0;3.92 s;4.5;-;3.8;0.03;CLS;2015VO05;118
2;205Fr;87;205;0;3.92 s;4.5;-;3.83;0.05;CRIS;2014LY01;118
3;205Fr;87;205;0;3.92 s;4.5;-;3.83;0.05;CRIS;2013FL09;118
4;205Fr;87;205;0;3.92 s;4.5;-;3.81;0.05;CLS;2013VO10;118
1;206Fr;87;206;0;16 s;3;+;3.97;0.05;CRIS;2016LY01;119
2;206Fr;87;206;0;16 s;3;+;3.91;0.03;CLS;2015VO05;119
3;206Fr;87;206;0;16 s;3;+;3.99;0.05;CRIS;2014LY01;119
4;206Fr;87;206;0;16 s;3;+;3.97;0.06;CLS;2013VO10;119
1;206Fr;87;206;0.01;16 s;7;+;4.7;0.05;CRIS;2016LY01;119
2;206Fr;87;206;0.01;16 s;7;+;4.68;0.04;CLS;2015VO05;119
3;206Fr;87;206;0.01;16 s;7;+;4.69;0.06;CRIS;2014LY01;119
1;206Fr;87;206;531;0.7 s;10;-;2.45;0.03;CRIS;2016LY01;119
2;206Fr;87;206;531;0.7 s;10;-;2.44;0.02;CLS;2015VO05;119
3;206Fr;87;206;531;0.7 s;10;-;3.55;0.05;CRIS;2014LY01;119
1;207Fr;87;207;0;14.8 s;4.5;-;3.87;0.05;CRIS;2014LY01;120
2;207Fr;87;207;0;14.8 s;4.5;-;3.89;0.08;ABLS;1985CO24;120
1;208Fr;87;208;0;59.1 s;7;+;4.71;0.04;CLS;2015VO05;121
2;208Fr;87;208;0;59.1 s;7;+;4.7;0.1;CLS;2013VO10;121
3;208Fr;87;208;0;59.1 s;7;+;4.75;0.1;ABLS;1985CO24;121
1;209Fr;87;209;0;50 s;4.5;-;3.95;0.02;ABLS;1985CO24;122
1;210Fr;87;210;0;3.2 m;6;+;4.38;0.05;TLS;2008GO11;123
2;210Fr;87;210;0;3.2 m;6;+;4.4;0.09;ABLS;1985CO24;123
1;211Fr;87;211;0;3.1 m;4.5;-;3.97;0.05;CRIS;2014LY01;124
1;212Fr;87;212;0;19.3 m;5;+;4.62;0.09;ABLS;1985CO24;125
1;213Fr;87;213;0;34.7 s;4.5;-;4.02;0.01;ABLS;1985CO24;126
1;219Fr;87;219;0;20 ms;1;+;3.13;0.04;BBCLS;2015DE28;132
1;220Fr;87;220;0;27.4 s;1;+;-0.67;0.01;ABLS;1985CO24;133
2;220Fr;87;220;0;27.4 s;1;+;-0.66;0.01;CRIS;2014LY01;133
1;221Fr;87;221;0;4.8 m;2.5;-;1.58;0.03;ABLS;1985CO24;134
2;221Fr;87;221;0;4.8 m;2.5;-;1.57;0.02;CRIS;2014LY01;134
1;222Fr;87;222;0;14.2 m;2;-;0.63;0.01;ABLS;1985CO24;135
1;223Fr;87;223;0;21.8 m;1.5;-;1.17;0.02;ABLS;1985CO24;136
1;224Fr;87;224;0;3.3 m;1;-;0.4;0.01;ABLS;1985CO24;137
1;225Fr;87;225;0;3.9 m;1.5;-;1.07;0.02;ABLS;1985CO24;138
1;226Fr;87;226;0;48 s;1;-;0.0712;0.0014;ABLS;1986DU16;139
2;226Fr;87;226;0;48 s;1;-;0.071;0.002;ABLS;1985CO24;139
1;227Fr;87;227;0;2.4 m;0.5;+;1.5;0.03;ABLS;1985CO24;140
1;228Fr;87;228;0;39 s;2;-;-0.76;0.02;ABLS;1985CO24;141
1;213Ra;88;213;0;2.7 m;0.5;-;0.6133;0.0018;CFBLS;1987AR20;125
1;225Ra;88;225;0;14.8 d;0.5;-;-0.7338;0.0015;CFBLS;1987AR20;137
1;235U;92;235;0;7.04E+8 y;3.5;-;-0.38;0.03;CFBLS;1983NI08;143
2;235U;92;235;0;7.04E+8 y;3.5;-;-0.46;0.03;ABLDF;1979Ch43;143
1;241Am;95;241;0;432.7 y;2.5;-;1.58;0.01;ABLS;1990IZ01;146
1;242Am;95;242;49;152 y;5;-;0.97;0.05;ABLFS;1988BE30;147
1;242Am;95;242;2200;14 ms;2.3;+;-1.14;0.08;LRSRD;1996BA52;147
1;243Am;95;243;0;7370 y;2.5;-;1.503;0.014;ABLS;1990IZ01;148
